,text,label
0,Although if there is anything positive to say about cars breaking down it s that most roads have good sized shoulders and that finding a decent spot to pull over which is safe and out of the way of traffic is usually the case.,1
1,They checked ac gas and it is low condition and they filled ac gas. But still chilling not remains sane and after some distance travelled. ,1
2,Step  Assess the situation. Always assess the conditions of your environment as best as possible before you make any decisions.,1
3,Now after the background of this much problem still i belive its the good product to drive but not easy to maintain.,1
4,If you are a CAA Member your Membership number.,1
5,Still at the time of servicing the sound was minimized but again after some it start. ,1
6,I didn't latch the hood of my car properly after replacing the wiper fluid at home so when I hit +65mph on the highway the hood flipped up and slammed into the windshield shattering it and bowing both the metal hood and glass windshield into the car.,1
7,I complaint at jkr motors kangra hp and they said there's a problem with the fuel pump and it needs to be replaced but they don't have the part because of shortage. ,1
8,Its seems to big safety and quality issue of TATA motors.,1
9,Air Conditioning,1
10,Overheating is a major cause of the breakdownespecially in summer.,1
11,It s been a year completed and odo meter turned to  approx but problem remains same ,1
12,Keep the windows and doors locked.,1
13,However safety takes precedence over scheduling or other concerns   it is better to wait for a tow if changing the tyre would put you in harm s way.,1
14,A description of your vehicle.,1
15,While driving car doesnt drive seamlessly and there is a huge noticeable pause while accelerating the car.,1
16,Once you and your passengers are in a safe location call . They will advise you on what to do. After calling emergency services call a family member or friend and advise them of your situation and location.,1
17,10. Above all use common sense No two breakdowns are the same   location time of day the problem ,1
18,Your location.,1
19,Additionally if you are facing a hill you will not be able to push the vehicle easily.,1
20,They checked ac gas and it is low condition and they filled ac gas. ,1
21,Contact the rental company and ask for transportation. It s generally the responsibility of the rental company to tow the broken-down rental car and to replace the car so you still have a functional car to drive. ,1
22,Raise your vehicle s hood. If you have a bright handkerchief scarf or light jacket tie it to the antenna or door handle or hold it in place by closing it in a window.,1
23,Be aware of your surroundings. Carry a flashlight with you if possible especially in nighttime situations.,1
24,2) That Mahindra would provide a taxi for one way drop to our destination OOTY out of which first  km would be free. ,1
25,1) Check the Engine Oil,1
26,after questioning about the service they say they have not checked the oil pump so it is not their fault then what is the use of paying rs it is just like paying money and getting my car damaged.,1
27,If relying on the help of a friendly motorist ask for identification before accepting assistance. Write this information down and leave it with another person or in the vehicle explaining where you are going and when you expect to return.,1
28,Even roads are good but puncture are very common. Many professional companies are helping commuters with their local fleet and mechanics are available at their rescue.,1
29,If your car breaks down on the road try to manage the situation so that you are not stressed and can get back on the road as soon as possible.,1
30,It's been nearly  years but they kept saying the same thing. ,1
31,I need immediate resolution on this and my demand on this is replacement of the car as its a brand new car and i dont want my car to be repaired in a week.,1
32,Zoom Car   No help from Zoom for  hours on the highway after a breakdown. Instead charged for k for vehicle damages.,1
