,text,label
0,Burt Why did not you show up for class this morning? ,1
1,Kevin I do not even want to talk about it.My car broke down. ,1
2,Burt What happened? ,1
3,Kevin The engine seems to be busted.It's driving me crazy! ,1
4,Burt Wow.Have you thought about getting a new car? ,1
5,Kevin Yeah I have thought about that but I ca not afford a new car.I'm broke. ,1
6,Burt Maybe you can lease a car.It does not cost much.I know Toyota is running a promotion. ,1
7,Kevin Really?How much is it? ,1
8,Burt Zero down and $219 per month. ,1
9,Kevin That's a good deal.I might wanna consider it,1
10,With huge traffic and busy people in Bangalore found difficulty when their car has broken down on the road.,1
11,Even roads are good but puncture are very common. Many professional companies are helping commuters with their local fleet and mechanics are available at their rescue.,1
12,Majority of the breakdowns are battery and punctures and some are major car breakdown that includes grear failure or clucth issues.,1
13,Car owners still want to avail for towing services even if that is only battery jump start.,1
14,Mechanics in Bangalore tow the vehicle at their workshop for major car breakdown.,1
15,Simple tasks that can make your car last longer.,1
16,1) Check the Engine Oil,1
17,Do it regularly monthly for a vehicle in good condition; more often if you notice an oil leak or find you need to add oil routinely. The car should be parked on level ground so you can get an accurate dipstick reading. Don t overfill. And if you do have a leak find and fix it soon.,1
18,2) Check Tire Air Pressure,1
19,Once a month and before any extended road trips use an accurate tire-pressure gauge to check the inflation pressure in each tire including the spare. Do this when the tires are cold (before the vehicle has been driven or after no more than a couple of miles of driving). Use the inflation pressure recommended by the vehicle s manufacturer not the maximum pressure embossed on the tire s sidewall. The recommended pressure is usually found on a placard on a front doorjamb in the glove compartment or in the owner s manual. Also be sure to inspect tires for abnormal or uneven wear cuts and any sidewall bulges you can see,1
20,3) Wash the Car,1
21,Try to wash the car every week if you can.,1
22,Wash the body and if necessary hose out the fender wells and undercarriage to remove dirt and road salt. It s time to wax the finish when water beads become larger than a quarter.,1
23,4) Other Checks at Each Oil Change,1
24,For normal driving many automakers recommend changing the engine oil and filter everymiles or six months whichever comes first. This is sufficient for the majority of motorists. Forseveredriving with frequent very cold starts and short trips dusty conditions or trailer towing the change interval should be shortened to everymiles or three months. (Check your owner s manual for the specific intervals recommended for your vehicle.) ,1
25,Special engines such as diesels and turbocharged engines may need more-frequent oil changes.,1
26,1. Get the vehicle out of the roadway If a problem arises while driving turn the car to the side of the road and out of the flow of traffic as soon as it is safe to do so.,1
27,Take care in getting out of the vehicle it is best to exit from the side of the car that faces away from traffic which may be the passenger side door.,1
28,2. Make your car visible When you have brought the car to a stop out of the way of traffic indicate that you are stopped by using your emergency flashers. ,1
29,Reflective triangles road flares and small orange cones can be used to alert other drivers to your location. ,1
30,If you can safely exit the car raise the hood and hang something white out the window or tie it to a side view mirror to alert other drivers to proceed around you.,1
31,3.Call for help The next step on the list is to call roadside assistance or the police to alert them to your predicament.,1
32,4. Assess the situation If you know that you can tackle the issue yourself (if your car has run out of petrol for example and there s a service station nearby) go ahead.,1
33,5. If your car has a flat tyre do not change it unless it can be done safely ,1
34,If the flat is one the side of the car away from traffic and you can address it without putting yourself in danger from other vehicles then do so. ,1
35,However safety takes precedence over scheduling or other concerns it is better to wait for a tow if changing the tyre would put you in harm s way.,1
36,6. Learn how to repair your car If you can positively identify the problem know how to address it and can do so safely then go ahead.,1
37,7. Be careful with strangers While there are plenty of good-hearted people out there whose only intention is to help,1
38,the world also has its share of jerks that will take advantage of another person down on his or her luck.,1
39,Fuelling Type4,1
40,FlatDrain Battery,1
41,Zoom Car No help from Zoom forhours on the highway after a breakdown. Instead charged for k for vehicle damages.,1
42,This is a major cause of roadside callouts.Drivers who use their cars for shortfrequent trips are infact at a higher risk of this problem.,1
43,This is because short trips do not give the battery enough time to recharge.,1
44,To ensure you are fully chargedinvest intelligent charger to connect the battery for long period.,1
45,Leaving headlight running at night would drain the battery.,1
46,A common cause of the breakdown is linked to the fuelling problemsyet it is the easiest to prevent.,1
47,Alternator Has Fault,1
48,Always facing the battery related issues ?Also the headlight are dimming when the engine is idle?If soyour alternator could be having the fault.,1
49,When the temperature of the engine rises rapidlyand the ignition warning light comes onit could mean that the alternator driving belt and the water pump is damaged or broken.Once the alternator stops workingthe battery doesnot charge well and the engine is likely to cut out.,1
50,Clutch Cables Replacement,1
51,The clutch cable is a part of the vehicle that is exposed to lot of problems in the vehicle.,1
52,Should it break that can be serious problem.T,1
53,he moment you notice changes in the feel of the clutch when the peddle is pressedhave it checked immediately,1
54,HighTension Leads,1
55,High tension leads transport large amounts of the voltage to the spark plugsand tend to get worse with agemaking it difficult for the car to start.,1
56,If you are having trouble starting your carhave your ignition system checked.,1
57,Electrical Issues,1
58,Electrical faults are becoming common today especially with the increase of complex controls and switches in vehicles.,1
59,They can at times be fixed by changing the battery but when the issue is detected on the onboard computer the mechanic may have to identify the cause of the problem by plugging their PC into your car.,1
60,Electrical faults are becoming common nowadays with increase in controls and switches in the vehicle .,1
