,Burt:	Why didn't you show up for class this morning?	,label
0,Kevin:	I don't even want to talk about it.  My car broke down.	,1
1,Burt:	What happened?	,1
2,Kevin:	The engine seems to be busted.  It's driving me crazy!	,1
3,Burt:	Wow.  Have you thought about getting a new car?	,1
4,"Kevin:	Yeah, I've thought about that, but I can't afford a new car.  I'm broke.	",1
5,Burt:	Maybe you can lease a car.  It doesn't cost much.  I know Toyota is running a promotion.	,1
6,Kevin:	Really?  How much is it?	,1
7,Burt:	Zero down and $219 per month.	,1
8,Kevin:	That's a good deal.  I might wanna consider it,1
9,"With huge traffic and busy people in Bangalore, found difficulty when their car has broken down on the road.",1
10,Even roads are good but puncture are very common. Many professional companies are helping commuters with their local fleet and mechanics are available at their rescue.,1
11,Majority of the breakdowns are battery and punctures and some are major car breakdown that includes grear failure or clucth issues.,1
12,Car owners still want to avail for towing services even if that is only battery jump start.,1
13,Mechanics in Bangalore tow the vehicle at their workshop for major car breakdown.,1
14,Simple tasks that can make your car last longer.,1
15,1) Check the Engine Oil,1
16,"Do it regularlymonthly for a vehicle in good condition; more often if you notice an oil leak or find you need to add oil routinely. The car should be parked on level ground so you can get an accurate dipstick reading. Dont overfill. And if you do have a leak, find and fix it soon.",1
17,2) Check Tire Air Pressure,1
18,"Once a month and before any extended road trips, use an accurate tire-pressure gauge to check the inflation pressure in each tire, including the spare. Do this when the tires are cold (before the vehicle has been driven or after no more than a couple of miles of driving). Use the inflation pressure recommended by the vehicles manufacturer, not the maximum pressure embossed on the tires sidewall. The recommended pressure is usually found on a placard on a front doorjamb, in the glove compartment, or in the owners manual. Also be sure to inspect tires for abnormal or uneven wear, cuts, and any sidewall bulges you can see",1
19,3) Wash the Car,1
20,"Try to wash the car every week, if you can.",1
21,"Wash the body and, if necessary, hose out the fender wells and undercarriage to remove dirt and road salt. Its time to wax the finish when water beads become larger than a quarter.",1
22,4) Other Checks at Each Oil Change,1
