,text,label
0,GautamBellare Hi Gautam we are disappointed to hear this and would like to help you. Kindly provide your car chassis number and contact information via DM as it will help us to have the relevant team contact you for further assistance. ,3
1,diyamdiya Hi Diya we regret the inconvenience caused and will definitely help you with this. Kindly share your contact details and dealer information via DM as it will help us to have the relevant team connect with you and assist further. ,3
2,Leave the summer heat behind and plan a family trip this monsoon. The new model has outstanding features like - Comfortable push back seats Individual AC vents Multiple USB charging points  feet  inch roof height Extra luggage space.  GhumoIndiaSaathSaath  TataWinger ,3
3,Avinashchoubeyg Hi we never want our customers to have such an experience with us. Please share your preferred car model contact details and the dealer information via DM so that our team can connect with you to assist further.,3
4,gaurav_darklord Hi Gaurav we suggest you visit your nearest Tata Motors dealership to get the best guidance as per your query. To locate your nearest dealer please click the link here ,3
5,maheshdang88 Hi Mahesh we never want our customers to have such an experience with us. Please share your contact details and car chassis number via DM so that our team can connect with you to assist further.,3
6,Harsh_DubGaya Hi Harsh we regret the inconvenience caused. Kindly DM us your location &amp; contact details &amp; our team will contact you.,3
7,manavthakkar1 Hi Manav we would really like to help you with this. Kindly elaborate on your concern and also provide your contact information vehicle model car chassis number and dealer details via DM so we can have the relevant team contact you for further assistance. ,3
8,Abhishe07600654 Hi Abhishek we have shared your query to the concerned team. They will contact you on priority.,3
9,_KrishnaSagar_ Hi Krishna thank you for sharing your valuable feedback. We have shared it with the relevant team for further consideration.,3
10,NASEERHUSSAINT1 Hi Naseer we really appreciate your valuable input and have shared it with our team for further consideration. ),3
11,Tata Winger  seater has outstanding features like   Comfortable push back seats Extra luggage space Individual AC vents Multiple USB charging points  feet  inch roof height to make every family trip memorable.  GhumoIndiaSaathSaath  TataWinger (22),3
12,KapilGarcha Hi Kapil thank you for bringing this to our notice. We will check this right away and make the necessary corrections.,3
13,"Have you got what it takes to answer this riddle?  
Click here to know more about the Tata Tiago s features 
 FeelsLikeFun ",3
14,pandeyprabodh                                                     DM                    ,3
15,bijay21201206 Hi Bijay is there anything specific we can assist you with? Please explain your query in detail via DM and we would be glad to help. ,3
16,"Extraordinary style that not only mirrors your class but also makes the world turn twice and stare. Stay tuned to witness your favourite Harrier in a brand new avatar.  DuetWithStyle
 AboveAll ",3
17,Govind771983 Congratulations on purchasing the Tata Tiago. We welcome you to the Tata Motors family. ),3
18,thegujjar8889 Hi is there anything specific we can assist you with? Please explain your concern in detail via DM and we would be glad to help.,3
19,anindya123 Hi Anindya The Tata Hexa has got a tremendous response from the market and will continue to exist along with its new sibling that is  AboveAll the Harrier. Also as per company policy (12),3
20,ApNaYaT Hi Nilesh we would really like to look into the concern you have raised. Please share your vehicle model contact details car chassis number &amp; dealer information via DM so that we can connect with you for further help.,3
21,Shubham03297986 Hi Shubham we are disappointed to know about this and want to help you. Kindly share your contact number and vehicle model as well as the contact number vehicle model and dealer information of the customer you have referred via DM as it will help us to assist accordingly. ,3
22,Congratulations to Dell_IN on launching their electric vehicles services in Bangalore and taking the first step towards a greener tomorrow.  ConnectingAspirations,3
23,abhishekjnayak Hi Abhishek we would really like to look into the concern you have raised. Please share your contact details and car chassis number via DM so that we can connect with you for further help.,3
24,tyagiji78 Hi Manoj we suggest you visit your nearest Tata Motors service center to get the best guidance as per your query. To locate your nearest service center please click the link here ,3
25,"Substance now with twice the style. Stay tuned to witness your favourite Harrier in a brand new avatar.
 AboveAll  DuetWithStyle ",3
26,"A child s needs are different from an adult s. To meet the unique needs of our young passengers and ensure complete safety our school buses come equipped with special features like Under-seat Bag Racks Bottle Holders Padded Windows and Individual Seat Lap Belts.
 TataSkoolBus ",3
27,"The cabin of the LPT  CRX has been thoughtfully designed with features like an Ergonomic Steering Wheel featuring Hydraulic Power Assisted Steering and Mechanically Suspended -way Adjustable Seats for a pleasant driving experience.
 TataTrucks  DeshKeTruck ",3
28,"The Ultra  comes with wider comfortable seats to ease fatigue especially during long journeys. The massive cabin not only has a larger space for the driver but also has  passenger seats that are equally wide and comfortable.
 DilSeUltra  TataTrucks  DeshKeTruck ",3
29,Pratik_Bhartia Hi Pratik we are concerned to know about your experience and want to help you with it. Kindly share your contact number and location details via DM as it will help us connect with you for further assistance.,3
30,Vicky55957701 Hi Vicky we always welcome feedback from our well-wishers and have shared your thoughts with our team for further consideration. Feel free to share your views and suggestions with us.,3
31,Diwakar_jpr Hi Diwakar we hope you have a smooth service of your Tata Tigor at the workshop. Do get back to us if you need any further assistance and we d be glad to help you.,3
32,We are delighted to supply  Tigor EVs to Janani Tours in Bengaluru as we continue our journey of driving electrification.  ConnectingAspirations ,3
33,srenathmg Hi DM refers to Twitter Direct Messages. However we have received your details via DM and have acknowledge it.,3
34,RT ChhotaHathi  InternationalYogaDay  ChhotaHathiTataAce ,3
35,tarunj2409 Thank you for sharing the requisite details Tarun. We have shared them with the relevant team and they will soon contact you for further assistance.,3
36,rathodketan1449 Hi we understand that our team has connected with you and taken a note of your concern. Rest assured that they will definitely provide an apt resolution for the same. We appreciate your patience in the meantime.,3
37,raviranjan_2oct Hi Ravi thank you for sharing the above details. However we also require your contact number as it will help us to get in touch with you and quickly address your concern.,3
38,Raman1063Raman Hi Raman we are unable to find your details in DM. Kindly share your contact information and vehicle model again so that our team can connect with you for quicker assistance.,3
39,manasjswl Hi Manas we are concerned to know about your experience and want to help you with it. Kindly share your contact number and location details via DM as it will help us connect with you for further assistance.,3
40,samitricha Hi Samit thank you for writing to us. Please find reviews shared by users appreciating Tata Harrier by clicking  &amp;  (12),3
41,"RT jtperformanceIN At JTP we re intent on redefining the meaning of freedom. 
Join the club today! Head to  now! ",3
42,Kumarpa66767396 As per company policy we cannot disclose any information pertaining to our future product strategies. Please stay tuned to our website  and social media handles for further updates. (22),3
43,gvbn_balaji Hi thank you for sharing the above details. However we also require your contact number as it will help us to get in touch with you and quickly address your concern.,3
44,ManishAswalman Hi Manish without the requested details we would be unable to forward your concern to the relevant team for further assistance. Please share your vehicle model so that we can have our team assist you soon.,3
45,abhilashgautam Hi Abhilash thank you for sharing your valuable feedback. We have shared it with the relevant team for further consideration.,3
46,anand19781 Hi Ganesh please allow us some time to get this checked with our team and we will get back to you soon with an update. We value your cooperation in the meantime.,3
47,bigshot_m Hi Mohit we are disappointed to know about this and want to help you. Kindly elaborate on your concern and also share your contact number and car model via DM as it will help us to better assist you. ,3
48,"15 hairpin bends of the Kunzum Pass test the nerves of even the experienced drivers. Sign up for SOUL Iconic Ladakh Drive and travel to this incredible destination with the brotherhood from th-25th July. 

 DriveWithSOUL ",3
49,ankurAg16677972 Hi Ankur thank you for sharing the requested details. We have highlighted your concern with the relevant team and you can rest assured that they will connect with you soon to resolve it at the earliest.,3
50,samitricha Alternatively you can share your contact number and location details so that we can have the relevant team get in touch with you at the earliest. (22),3
51,sushant_gnit Hi Sushant we never want our customers to have such an experience with us. Please share your contact details and car model via DM so that our team can connect with you to assist further. ,3
52,DevRajSaharan Hi Dev we are disappointed to hear this and would like to help you. Kindly provide your car chassis number contact information and dealer details via DM as it will help us to have the relevant team contact you for further assistance.,3
53,prashant18910 Hello Prashant we have been trying to reach out to the number provided by you but there is no response. Request you to provide alternate contact number so that our team can contact you.,3
54,AnkitV34 Hi Ankit we are disappointed to know about the experience you have had. Please share your contact information vehicle chassis number and dealer details via DM so that our team can connect with you for quicker assistance. ,3
55,SaurabhRaje4 That's an amazing click Saurabh! Keep sharing more pictures and videos of your journeys with the Tata Tiago.  ,3
56,mohammedafsal_k Hi Afsal is there anything specific we can assist you with? Please explain your concern in detail via DM and we would be glad to help.,3
57,On account of National  doctorsday  our Head Manufacturing CVBU &amp; Head Jamshedpur Plant felicitated doctors during a celebration at Tata Motors Hospital.  ConnectingAspirations ,3
58,BharatSehgal91 Hi Bharat we are concerned to know about your experience and want to help you with it. Kindly share your contact number car chassis number and the dealer details via DM as it will help us connect with you for further assistance.,3
59,commandur Hi we regret the inconvenience you have had to face and have forwarded your concern to the relevant team. They will soon contact you to assist further.,3
60,Ajay54237453 Hi Ajay we understand that our team has connected with you through a call and has taken your concern forward. Rest assured that it will be resolved soon. We appreciate your patience in the meantime.,3
61,ShokeenMukesh Thank you for sharing the requisite details Mukesh. We have shared them with the relevant team and they will soon contact you for further assistance.,3
62,vishwaj69076773 Hi we have shared your issue to the concerned team. They will contact you on priority.,3
63,guptaatuul Hi Atul thank you for sharing the above details. However we would also need your contact number via DM so that we can have the relevant team get in touch with you at the earliest.,3
64,AbhishekDimri77 Hi Abhishek is there anything specific we can assist you with? Please let us know via DM and we would be glad to help.,3
65,raghuveer78626 Hello we have been trying to reach out to the number provided by you but there is no response. Request you to provide alternate contact number via DM so that our team can contact you.,3
66,raaajaaa15 Hi Debasish we never want our customers to have such an experience with us. Please share your contact details and car chassis number via DM so that our team can connect with you to assist further.,3
67,DSChauh54573033 For any further assistance we request you to get in touch with them and they will surely help you with it. (22),3
68,ashishkumardude Hi Ashish we understand that our team has connected with you and has taken your concern forward. You can rest assured that it will be resolved at the earliest.,3
69,GadiWalaAdmi Hi Suraj we never want our customers to have such an experience with us. Please share your vehicle model contact details car chassis number and the dealer information via DM so that our team can connect with you to assist further.,3
70,sudhirkr3156 Hi Sudhir we regret the inconvenience caused. Kindly DM us your location &amp; contact details &amp; our team will contact you.,3
71,mariwala Hi Prateek we would really like to know what went wrong. Please elaborate on your concern and also share your contact information vehicle model and dealer details via DM so that we can better assist with your concern. ,3
72,ShubhamAnshu3 Hi Shubham our team has already connected with Mr. Atul regarding his concern. You can rest assured that it will be resolved soon.,3
73,prashant18910                            ?   DM                                                                           (12),3
74,beastoftraal Hi Karthik we are really delighted to see your love for the Harrier.  We suggest you to visit your nearest Tata Motors dealership to get a glimpse of the SUV that is  AboveAll. (12),3
75,Prafullgarg2 Hi Praful we will surely help you with this. Please share your's and your referrals contact details &amp; vehicle model via Facebook messages so that our team can connect with you for quicker assistance.,3
76,Tata Ace Steel Container is a durable and extremely reliable OEM container which comes with best-in-class  year warranty to ensure great performance long life span and maximum safety of goods.  TataAce  TataAceContainer ,3
