,text,label
0,If the car made any strange sounds during the test drive what might those sounds mean?,0
1,Jaick56972615 Hi Rekha thank you for writing to us.  LevelNexSUV is available in Moroccan Blue Vermont Red Glasgow Grey Seattle Silver Calgary White Etna Orange here httpst.co8Q0DW1Vh1Y. (12),3
2,It is an incoming vehicle mean?,0
3,iiirdi Hi Sanjay this is a fake job offer. We are aware of the issue and have duly reported the same.,3
4,Tata INTRA India s First Compact Truck is truly a benchmark in the trucking industry. It is manufactured with automated process &amp; packs astonishing features to take your business to the next level. Get more details here httpst.cod1V50kD1fF  TataIntra  Indias1stCompactTruck httpst.cosgM4Nggms0,3
5,All of our vehicles go thru an extensive mechanical safety inspection,0
6,Mercedes-Benz  .0 sedan  .0 Diesel  E-Class Andhra Pradesh,0
7,RaviPat93230099 Hi Ravi we're disappointed to hear this and would like to help you. Kindly provide your contact information SOUL membership id and dealer details via DM as it will help us to have the relevant team contact you for further assistance.,3
8,The  Toyota Corolla Greater Than Ever! Test drive today and learn more at  ??   Corolla  ,0
9,Toyota  .0 sedan  .4 Other  Camry Kerala,0
10,bhatiachirag Hi Chirag we sincerely apologize for the inconvenience caused. We've shared your concern with our team and they will soon connect with you to assist further.,3
11,Frame & Body,0
12,Anyone for pizza? ??Don t think I ll be able to lose this car in a car park ??  newwheels  newcar  papajohns  ,0
13,debashishdas Hi Debashish we would really like to help you with this. Kindly elaborate on your concern and also provide your contact information car chassis number and dealer details via DM so we can have the relevant team contact you for further assistance.,3
14,Monsoon season is here. Plan an amazing trip with friends and make the whole experience better with Tata Winger.  (12) httpst.coNvslFJLN46,3
15,Saurabh61462614 Hi Saurabh we're disappointed to know about the experience you've had. Please share your car model contact information vehicle chassis number and dealer details via DM so that our team can connect with you for quicker assistance.,3
16,Q. Can we add Ac on standard version nano? If yes then what will be the cost?,0
17,Lexus  .0 crossover  .7 Gas  GX Madhupur,0
18,Raman1063Raman Hi Raman we are unable to find your details in DM. Kindly share your contact information and vehicle model again so that our team can connect with you for quicker assistance.,3
19,Makdaitya Visit our website to locate your nearest dealership and book a test drive today httpst.co8Niz5nkPhl. (22),3
20,jineeshr That's an amazing click Jineesh! Keep sharing more pictures and videos of your journeys with the Tata Nexon.  ,3
21,Will the dealer put the warranty and any other promises in writing?,0
22,Toyota  .0 sedan  .4 Petrol  Camry Bihar,0
23,Your rights include,0
24,Knocks or misses related to camshaft lifters and push rods,0
25,"""Which  nline would you have?",0
26,Mercedes-Benz  .0 crossover  .0 Diesel  GLE-Class Tamil Nadu,0
27,Mercedes-Benz  .0 sedan  .0 Diesel  S  Pithapuram,0
28,buyer i like this one the black one it is my favorite colour of car,0
29,"RT jtperformanceIN If you re the kind of person who enjoys cruising along a coastline you should probably test drive a Tigor JTP.
Head t ",3
30,imparagmodi Hi Parag thank you for your valuable feedback. We've shared it with the relevant team for further consideration.,3
31,Hence the apprehensions of officials are genuine and the refusals to use the vehicles acceptable said the executive.,0
32,Tata Altroz - the much-awaited urban car will have its website launched on th June  PM onwards. Now it's up to you to unveil its website. Every click unveils the Altroz mystery. Click on httpst.coip1msiJ7QT  to kick-start the drive of this urban car.  UrbanCarRedefined httpst.coZk7pGH4nGl,3
33,Tata Motors Domestic Sales - June . Know more httpst.coxXXX4OnyAz,3
34,NishantSinghx Hi Nishant thank you for writing to us. We would like to inform you that the Tata Nexon has always been a very safe car as it comes with a lap belt for the middle passenger. To know more about the safety features of the  LevelNexSUV (12),3
35,parveshpkr Hi Parvesh we regret the inconvenience you've had to face. Your concern has been forwarded to our team and they will soon connect with you to assist further.,3
36,What if the dealer says I can take his word for the good condition of the car?,0
37,BMW  .0 crossover  .0 Diesel  X5 Ron,0
38,asshutosh_gupta Hi Ashutosh we're disappointed to know about the experience you've had. We've forwarded your concern to our team and they will soon connect with you for further assistance.,3
39,"If the dealer got the car at an auction did the car come through the line on a ""green light"" ""yellow light"" or ""red light""? A ""green light"" means that the seller denied knowing of any frame damage water damage or problems with the car's title. A ""yellow light"" or ""red light"" may",0
40,seller i suggest you to buy innova it's very suitable for the family,0
41,The all-new Tata INTRA comes with electronic dashboard cluster and amazing interiors which assure driving pleasure and efficiency. Get more details here httpst.coTVEcTbXHvf  TataIntra  Indias1stCompactTruck httpst.coH4ueuWIvD7,3
42,jai_bhara_t Hi we want to help you with this. Kindly DM us the vendor's details and we will look into the matter. httpst.coDVaabkeXhX,3
43,siddhantkhera1 Hi Siddhant we would really like to help you with this. Kindly elaborate on your concern and also provide your contact information car chassis number and dealer details via DM so we can have the relevant team contact you for further assistance.,3
44,"""Take a look at our BIK calculator ",0
45,dawar_shobin Hi Shobin we regret the inconvenience you've had to face and have forwarded your concern to the relevant team. They will soon contact you to assist further.,3
46,Believe it or not there are more ways to better prepare yourself for buying a vehicle.,0
47,Shock absorber leaking or functioning improperly,0
48,So if you are considering a used car please ask for your complimentary safety inspection report.,0
49,The Mumbai-based company did not mention the number of cars supplied to EESL nor did it answer questions on the quality of vehicles.,0
50,Navdeep18288062 Hi Navdeep we regret the inconvenience caused. Kindly DM us your vehicle variant &amp; our team will contact you.,3
51,Press down on the bumper and release. If the shock absorbers are working right the car should only bounce once.,0
52,NairBnair Hi Sunil customer service and satisfaction is of utmost importance to us. We aim at delivering the best of our services to the customers and always strive to make their experience even better. If you require any specific assistance please let us know and we'd be happy to help.,3
53,Cracked block or head,0
54,NitinS64576211 Hi Nitin we'll definitely help you with this. Kindly share your contact details and location information via DM so that our team can connect with you and assist further.,3
55,Mercedes-Benz  .0 van  .2 Diesel  Vito  . Tiptur,0
56,How can I initiate a locate request?,0
57,vishwaj69076773 Hi we have shared your issue to the concerned team. They will contact you on priority.,3
58,GyaneshwariDel Hi this is a fake letter. We are aware of the issue and have duly reported the same.,3
59,"RT jtperformanceIN Need a formula for peace of mind?

Solitude + JTP
Find out about the Tiago JTP at httpst.cokhnhD0sI49 httpst.co ",3
60,BMW  .0 crossover  .0 Diesel  X5 Tamil Nadu,0
61,chef_christmas Hi Husain we never want our customers to have such an experience with us. Please share your contact details via DM so that our team can connect with you to assist further. httpst.coGpX5BQutJH,3
62,Nissan  .0 hatch  nan Other  Leaf Malda,0
63,Animesh7287 Hi Animesh we're glad to hear that your issues are resolved. Do get back to us if you need any further assistance and we d be glad to help you.,3
64,atulan4u Hi Atul we're really delighted to see your love for the Tata Indica. Keep sharing your thoughts with us. We'd be glad to hear them. ),3
65,DINESH20042013 Thank you for helping us with the requested details. We've shared them with our team and they ll soon connect with you to assist further.,3
66,Anoop94950167 GoodyearTyre Hi Anoop we understand that our on-ground team has connected with you and provided the best possible resolution. For any further assistance we request you to get in touch with them and they will surely help you with it.,3
67,? You bought the car from a dealer (someone in the business of selling cars).,0
68,Would a satellite radio or a sunroof be the things that sell you on a particular vehicle?,0
69,"You can find buying tips finance tips and other useful pricing information here. You can click on the ""Tips and Advice"" button to see some of the tips the site has to offer. On the left side of the page you will also see a box for ""Article Keyword Search."" You can type in what you're",0
70,"""RT LeicsPoliceRPU This morning sees the arrival of a new car to our fleet!! OT06 a Vauxhall Insignia VXR!! Another tool in our box to ke ""1",0
71,RT ETAuto  PankajJhunja Head - Mobility Innovation Hub TataMotors advocates for crowd sourcing data for better mobility solutions in   ,3
72,"With added features like a .78cm Touchscreen Infotainment System &amp; Electrically Adjustable ORVMs the All New Tiago NRG is set to enhance your adventures with its  NRGToDoMore

Click here to know more httpst.conY145Sm9nC httpst.coeTrKdiAS5Y",3
73,"The LPT  CRX comes with a proven  CR Engine that belts out an impressive kW   rmin. Its superior aggregates make it one of the best performing trucks in the segment.
 TataTrucks  DeshKeTruck httpst.coa21Ehf9EKF",3
74,"""RT BigCheddarBob1 Work hard play hard",0
75,guptaatuul Hi Atul as per the update received from our team we understand that they ve contacted you and shared the necessary information regarding your concern via email. For any further assistance we request you to get in touch with them and they will surely help you with it.,3
76,"""View our wide range of affordable top quality pre-owned cars online. Contact us today for more information on our  ",0
77,Will I need to pack it with a lot of things on a frequent basis?,0
78,satishanandr Hi Satish we regret the inconvenience caused and will definitely help you with this. Kindly share your contact details car chassis number &amp; dealer information via DM as it will help us to have the relevant team connect with you and assist further.,3
79,What if I don't like the vehicle that I have a deposit for or I have purchased another vehicle?,0
80,Daewoo  .0 sedan  .5 Petrol  Lanos Patiala,0
81,ravi99191542 Hi Ravi we have shared your issue to the concerned team. They will contact you on priority.,3
82,carlover6319 Hi Aditya thank you for writing to us. Stay tuned to our social media handles for more information about the Altroz. ),3
83,manasjswl Hi Manas we're concerned to know about your experience and want to help you with it. Kindly share your contact number and location details via DM as it will help us connect with you for further assistance.,3
84,LatharRakesh Hi Rakesh we would like to know more about your concern. Kindly DM us your vehicle variant location &amp; contact details &amp; our team will contact you.,3
85,"""RT LeicsPoliceRPU This morning sees the arrival of a new car to our fleet!! OT06 a Vauxhall Insignia VXR!! Another tool in our box to ke ""1",0
86,Chahe kitna hi kathin ho rasta Tata Yodha ke  hp engine ke saath badhte raho aage aur jeet jao har manzil. For more information httpst.coIXt28nj9gr  JeetLoHarManzil  TataYodha httpst.coBU7B8JgYZS,3
87,Remember these rights apply if,0
88,7. What Is the Gas Mileage? How Many Miles Are Already on It?,0
89,Then ask the dealer about their policy on  buying as you saw it . Your dealer may do the repairs themselves or leave that up to you.,0
90,thkraksh Hi Aakash we suggest you visit your nearest Tata Motors dealership to get the best guidance as per your query. To locate your nearest dealer please click the link here httpst.coLf8TfMkMk3.,3
91,Don't let the salesperson pressure you into purchasing insurance to pay off your loan in the event you die or become disabled or the car is stolen or destroyed. First find out if your lender requires that kind of insurance and if so consider shopping for another lender. Also if yo,0
92,Presenting the New Tigor XZA+ &amp; XMA - an automatic sedan at an unbeatable price to give you an effortless and premium driving experience. Book a test drive today to  SkipTheClutch at httpst.coIu9omfjS2E.  TheSedanForTheStars httpst.coeYUd7D7VZY,3
93,dineshbhatudup5 Hi Dinesh obtaining your details through email will result in a significant and unnecessary delay in addressing your concern. Hence we request you to share your details here as doing so will help to resolve your issue at the earliest. httpst.coGpX5BQutJH,3
94,Tesla  .0 sedan  nan Other  Model S Mukhed,0
95, cars  carlease  ,0
96,TIGOR EV has  charging options,0
97,Land Rover  .0 crossover  .0 Diesel  Range Rover Sport Karnataka,0
98,Locate time frame has to do with your specific request. Since we work with our customers on a one on one basis each request is very unique and can take a few days to several weeks. However our average time from order to delivery is  days. Some are faster and some are nearing  mont,0
99,"""Congratulations to these very happy customers who have all collected their new Nissan cars from us! ????",0
100,Infiniti  .0 crossover  .7 Gas  FX  Tiruppur,0
101,Nissan  .0 hatch  nan Other  Leaf Gujarat,0
102,How long does it take to locate a vehicle?,0
103,nihaniaa Hi Gaurav we would really like to know what went wrong. Please elaborate on your concern and also share your contact information vehicle model and dealer details via DM so that we can better assist with your concern. httpst.coGpX5BQM58h,3
104,Toyota  .0 crossover  .5 Diesel  Land Cruiser  Karnataka,0
105,Krushan41672787 Hi the technical specifications features and pricing details of the  UrbanCarRedefined will be revealed soon. Stay tuned to our social media handles for more information about the Altroz. ),3
106,Land Rover  .0 crossover  .0 Petrol  Range Rover Sport Nehtaur,0
107,pntkhandelwal2 Hi Puneet we're disappointed to know about the experience you've had. Please share your contact information and vehicle chassis number via DM so that our team can connect with you for quicker assistance.,3
108,What is the condition of your vehicles?,0
109,GadiWalaAdmi Thank you for reaching out to us Suraj. CNG fitments have not been approved on any Tata cars except the Tata Nano eMax variant. (12),3
110,Suspension System,0
111,Our Chief Technology Officer Rajendra Petkar was a part of the Autocar  BSVIConclave as one of the panelist for a discussion on Transition from BSIV to BSVI.  ConnectingAspirations httpst.cou9IXlaGlFw,3
112,iamsun_93 Hi Arun we're disappointed to hear this and hope that everyone is safe during accident. Please share your contact information vehicle chassis number and dealer details via DM so that our team can connect with you for quicker assistance. httpst.coGpX5BQutJH,3
113,The National Consumer Law Center has a number of publications that have been written for consumers. These include books on Surviving Debt Consumer Rights for Immigrants and Return to Sender a book on how to get rid of a car that turns out to be a lemon (unsatisfactory or defective).,0
114,AntonySavari Hi we're really delighted to see your love for the Harrier. Keep sharing your thoughts with us for the SUV that's  AboveAll. We'd be glad to hear them. ),3
115,ankush82 Hi Ankush we're disappointed to hear this and would like to help you. Kindly provide your contact information via DM as it will help us to have the relevant team contact you for further assistance.,3
116,praveen_mv Of course Praveen a superhero always needs -Star protection! ),3
117,Most of our vehicles are factory lease returns factory program cars that are purchased directly from the leasing companies such as Lexus Financial BMW Financial Audi Financial Mercedes Benz Credit Honda and Acura Financial. Some vehicle are trade in to stores that carry mostly hi,0
118,Thank you f  ,0
119,Yes we welcome any independent inspection to be performed on all of our vehicles.,0
120,BMW  .0 crossover  .0 Diesel  X5 Mandsaur,0
121,aappj123 Hi Aashish we're concerned to hear about the problems you've faced and want to help. We've forwarded your details to our team and they will soon connect with you to address your concern.,3
122,Take your family to explore the capital in the supreme comfort of Tata Winger  seater. (12) httpst.cokAd9U8wxgC,3
123,kapil09833528 Thank you for sharing the requisite details Kapil. We've shared them with the relevant team and they'll soon contact you for further assistance.,3
124,ss_devendra Hi Devendra we'd really like to look into the concern you've raised. Please share your contact details via DM so that we can connect with you for further help.,3
125,Hyundai  .0 crossover  .6 Petrol  Accent Tamluk,0
126,BMW  .0 sedan  .2 Gas   Punjab,0
127,"RT jtperformanceIN At JTP we re intent on redefining the meaning of freedom. 
Join the club today! Head to httpst.coAveQeMRXoD now! ",3
128,kartikeya_kd Hi Kartikeya the automatic variant of the Harrier will be introduced as a part of the product life cycle and will be announced at an appropriate time. Please stay tuned to our website httpst.coVCOE8NT14S and social media handles for further updates.,3
129,AbyKurian8 That's great to hear Aby. Do share pictures and videos from your journeys with the  LevelNexSUV. We'd be glad to see them. ),3
