,text,label
0,Warranties vary on the automaker and on the vehicles themselves.,0
1,Can I order a used car? ,0
2,"""2009 BMW i ",0
3,The problem Air conditioner not working ,4
4,Boot upper side cover is missing which result in all harness inside open. ,4
5, Let s get you down for an appointment. Does tomorrow at ,2
6,Watch carefully for oncoming traffic especially at night or in bad weather.,1
7,All cars require maintenance to remain operable. Even when you stay on top of suggested support services like oil changes and tire rotations issues will occur. Driving style or car model may leave your car more prone to certain problems than others. Check out Car Complaints to see specific car troubles you want to be aware of for your car s make model and year. No matter your choice of vehicle you ll want to be on the lookout for the previously listed car problems.,4
8,sometime in the afternoon. ,2
9,If your vehicle lets you down we will be there for you. If you are insured with LV= we have put together a short video guide about what to do in the event of a breakdown.,1
10,In the last -9 months the vehicle has been repaired  times including engine repair turbo crank et etc.,4
11,Our inventory is primarily -Owner Carfax Certified cars and truck. Most of our vehicles are Factory Certification Eligible.,0
12,Now the music system is failed and when i go to show room for repair the show room takes  to  days to repair it and that time i have no car to use.in  rs. ,4
13,nausainik Hi we never want our customers to have such an experience with us. Please share your vehicle model contact details car chassis number and the dealer information via DM so that our team can connect with you to assist further.,3
14,The price I saw was $27000. Why is your price higher?,0
15,  Ask the customer to grab a piece of paper and a pen,2
16,Monsoon season is here. Plan an amazing trip with friends and make the whole experience better with Tata Winger.  (12) ,3
17,Tata INTRA s power steering gives you immense control to give you driving Pleasure and make your deliveries efficient. So contact the nearest Tata Motors dealership and book today. For more information visit   TataIntra  Indias1stCompactTruck ,3
18,KrupeshShah1901 Hi Krupesh we would really like to know what went wrong. Please elaborate on your concern via DM so that we can better assist you with it. ,3
19,dineshbhatudup5 Hi Dinesh thank you for sharing the requested details. We have highlighted your concern with the relevant team and you can rest assured that they will connect with you soon to resolve it at the earliest.,3
20,If you can pull over to the side of the road exit through the passenger-side door away from traffic then stand far away - behind the guardrail if possible. Many oncoming drivers tend to steer toward whatever they re looking at whether it's a crash ahead or a car breakdown on the roadside. ,1
21,Here we go!,2
22,"""RT LeicsPoliceRPU This morning sees the arrival of a new car to our fleet!! OT06 a Vauxhall Insignia VXR!! Another tool in our box to ke ""1",0
23,tarunj2409 Hi Tarun we would really like to look into the concern you have raised. Please share your contact details car chassis number &amp; dealer information via DM so that we can connect with you for further help. ,3
24,Extra medications,1
25,4. Rattling sound from engine ,4
26,jk750163 Hi Jatinder thank you for sharing the requested details. We have highlighted your concern with the relevant team and you can rest assured that they will connect with you soon to resolve it at the earliest.,3
27,asshutosh_gupta Hi Ashutosh we are disappointed to know about the experience you have had. We have forwarded your concern to our team and they will soon connect with you for further assistance.,3
28,We have purchased new trailer truck tata signafrom your company as on dated .05.219,1
29,To know more click-   ConnectingAspirations  TigorEV ,3
30,Attachments,0
31,red_bhumika Hi Bhumika please allow us some time to get this checked with our team and we will get back to you soon with an update. We value your cooperation in the meantime.,3
32,Raman1063Raman Hi Raman we are unable to find your details in DM. Kindly share your contact information and vehicle model again so that our team can connect with you for quicker assistance.,3
33,5. What Are Some Common Repairs?,0
34,Please pass on my thanks - Cheryl,1
35,Depending on where you live you may need a car with four-wheel drive.,0
36,basha_nawaz Hi Nawaz we are disappointed to hear this and would like to help you. Kindly provide your contact information and dealer details via DM as it will help us to have the relevant team contact you for further assistance.,3
37,2211Dharmesh Hi Dharmesh thank you for writing to us. We suggest you to visit your nearest Tata Motors dealership as they will be able to assist you better with your requirement. Click here  to find the dealership that is closest to your location.,3
38,Once you and your passengers are in a safe location call . They will advise you on what to do. After calling emergency services call a family member or friend and advise them of your situation and location.,1
39,Spark plugs can break or wear out but should not be a problem as long as your car is serviced regularly.,1
40,Fast DC Charging via any DC Fast Charger. ,0
41,What s the mileage of this vehicle?,2
42,9. Keep an eye out for uniformed police officers All highways and major roads are patrolled regularly. ,1
43,Hyson motors service team has asked us to take the car after service without resolving the issue. Which is not acceptable for us.,4
44,Could I come back for a test drive in the night to test the headlights?  ,2
45,B Would you like to take this car for a spin?,2
46,TIGOR EV has  charging options,0
47,tarunj2409 Thank you for sharing the requisite details Tarun. We have shared them with the relevant team and they will soon contact you for further assistance.,3
48,yashkamdar631 Hi Yash we would really like to look into the concern you have raised. Please share contact details via DM so that we can connect with you for further help.,3
49,I had never faced such a situation in any of my previous car brands like maruti or honda. ,4
50,A I have yet to take my driving test.,2
51,Pradeep22254231 Hi Pradeep as per the update received from our team we understand that they ve contacted you and shared the necessary information regarding your concern. For any further assistance we request you to get in touch with them and they will surely help you with it.,3
52,B How about taking this car out for a drive to see if you like how it handles?,2
53,DSChauh54573033 For any further assistance we request you to get in touch with them and they will surely help you with it. (22),3
54,You can also go to  for a helpful checklist of questions you may wish to ask the dealer.,0
55,What service will be provided?  ,2
56,"Introducing Harrier with alluring dual tone colours - an SUV  AboveAll that s truly one of a kind.

Click on the link to book a test drive  
 DuetWithStyle ",3
57,What is the service duration,2
58,Simply go to our website and fill a locate request and we will contact your to go over all the details.,0
59,Yes we do offer financing.,0
60,This is disappointing that no one is really seems to be interested in addressing this issue permanently.,4
61,This is a breakdown of all my travel expenses in relation to the Asia trip I had last month. Please charge these as part of the training expenses,1
62,"""Take a look at our BIK calculator ",0
63,A I found my Driver's License and Proof of Insurance.,2
64,Great your salesperson has the appointment by this point. Now lets make sure they tie,2
65,move behind a safety barrier if available. It is,1
66,What Does the Warranty Cover? ,2
67,Your new battery is dead Cause - It's not your new battery It is your alternator ,4
68,thecoolrajat3 Hi Abhishek we completely understand your reason for concern. We have forwarded your details to our team and they will soon connect with you to assist further. We appreciate your cooperation in the meantime.,3
69,What are the unique features of this car which are different from competition?,2
70,manually inspect the coildamper for any oil leaks to know their condition.      ,4
71,skraj6001                                                               DM                  ,3
72,nittoo19 Hi Rajiv thank you for writing to us. We suggest you visit your nearest Tata Motors dealership to get the best guidance as per your query. To locate your nearest dealer please click the link here ,3
73,Demo about safety of car  ,2
74,Below are the complaints which logged so far. ,4
75,Do not try to push a disabled car off the road if there s any other traffic around. Similarly do not remain in the car if there is any chance it could be struck by another vehicle. Exit the vehicle on the side away from traffic.,1
76,Currently covered k km.,4
77,Burt Wow.Have you thought about getting a new car? ,1
78,To know more click-   ConnectingAspirations  TigorEV ,3
79,While many flats and blowouts are due to external forces they can also be attributed to factory defects in the tire itself. Some tread wear is normal over time but excessive tire wear early on is not. Additionally if your tires are wearing out unevenly or you feel a vibration through your steering wheel your suspension is probably in need of alignment.,4
80,How many safety bags present and the locations?  ,2
