,text,label
0,Yes we do offer financing.,0
1,Hubster and I made our first purchase together as a married couple yesterday and got ourselves a new car ?? its PEE ,0
2,Has anything on the car ever been replaced or updated?,0
3,Yes simply fill out our locater request and we will locate a vehicle that meets your requirements.,0
4,Check that the windows move up and down easily and that the seats move back and forward properly.,0
5,"A dealer might ask you to sign a document saying that you are purchasing the car ""as is."" Remember that a dealer is not allowed to sell a car ""as is"" under District of Columbia law. So even if you have signed a document saying that you have purchased the car ""as is"" you cannot give up your legal rights as a consumer under the implied warranty of merchantability.",0
6,Yes we welcome any independent inspection to be performed on all of our vehicles.,0
7,"""Zane is so excited to drive his new car... and by the looks of it so is his granddaughter!! ??",0
8,Does the mileage shown on the odometer seem to be consistent with the condition of the car?,0
9,"""Check out our latest prestige cars ",0
10,We do not have any locate fees finder fees or any other fees associated with finding your dream car. You will get the same low price that we offer on all of our cars. Most of the time our prices are below Wholesale.,0
11,How much do you charge if I would like to locate a vehicle?,0
12,Does Tata Harrier have a petrol model? What is the engine capacity and mileage?,0
13,Notice whether the seats and carpeting show unusual wear and tear.,0
14,"If they take these vehicles they cannot claim fuel expenses"" said the executive requesting anonymity.",0
15,Don't tell the salesperson how much you are willing to spend monthly on the car. First agree on the price of the car. Then discuss the financing.,0
16,The second person mentioned said taking into consideration the shortcomings of E-Verito Mahindra is developing a new electric vehicle that gives more mileage.,0
17,"""RT TCHarrisonFord Old vs new! What are your thoughts on the new Puma? ??",0
18,sellerthis one is innova,0
19,"You should check your local newspapers to see the asking prices for the kind of car you are interested in buying or trading in. The ""asking price"" is simply the price the seller would like to get for the car and may not reflect the actual value of the car.",0
20,Congratulations Earl on your  Nissan  Kicks from Rubel Harmon at Waxahachie Nissan!  NewCar ,0
21,"""Congratulations to these very happy customers who have all collected their new Nissan cars from us! ????",0
22,Gas guzzlers that dont get a lot of miles per gallon will cost you more in the long run. But if you want a truck or SUV and can afford the costs to fuel it then this may not be an issue for you.,0
23,Spring broken,0
24,Its taken me a little while to post this because I kept forgetting to take pics but I got a new car! Its so prett ,0
25, carfinance ,0
26,"""View our wide range of affordable top quality pre-owned cars online. Contact us today for more information on our ",0
27,If you didnt ask for something like a new paint job or a dealer-installed accessory then be adamant about not paying for it.,0
28,Belts missing or inoperable,0
29,Cracked or damaged case which is visible,0
30,"""RT MobilityPremium View our wide range of affordable top quality pre-owned cars online. Contact us today for more information on our pre""1",0
31,"""RT AMTAutoUK How does leasing work? From initial contact through to getting your new car we tell you exactly what to expect. Find out mo""1",0
32,If recall work needs to be done the dealership will usually do it for free even if you are not the original owner of the car. If you have trouble finding a dealership that will check for safety recalls you should be able to get this information by calling the manufacturer or importer of the car.,0
33,Brake System,0
34,Car Buyer Could you please brief about Dzire and Ciaz? So that I could decide which one I want to go for.,0
35,Aim to spend up to  minutes on a test drive. You need time to evaluate how well the car runs and whether the car suits your lifestyle. If a private seller hesitates invite them along for the ride. Theyll appreciate the chance to keep a watchful eye on their vehicle.,0
36,Where do you Source your used cars? ,0
37," TPIRPostYourPrize  NewCar""1",0
38,Battery capacity was not up to the mark compared to global standards the official told the newspaper requesting anonymity.,0
39,Improperly functioning alternator generator battery or starter,0
40," TPIRPostYourPrize  NewCar""1",0
41,seller hello sir what can i do for you today?,0
42,Since we are different than the average lot where a vehicle sits -120 days on Average. We would like to make sure the vehicle is still available. Also sometime it may be an incoming vehicle or a customer has put a deposit hold.,0
43,Tata Motors is developing a .6-litre petrol engine for the Harrier and other upcoming cars based on the OMEGA architecture. ,0
44,As of now Tata Harrier is only available in Diesel. Tata Harrier petrol is expected to come next year.,0
45,Any of the serious problems that used cars may have such as,0
46,"""Since it is a new technology we wanted to gain confidence on our products before delivering it to our clients an EESL spokesperson said. ",0
47,"""RT LadyGothamm I've had my car for  days brand new off the lot. 000kms... guess I drive a lot. At this rate I'll burn through my wa""1",0
48,Can I see the cars at the Auction?,0
49,If the vehicle purchased is within the original Manufactures warranty we will transfer the coverage to you as the new owner.QUESTION ABOUT LOCATE SERVICE,0
50,Shout Out to My Daughter Leek13leeek Just Got Her A New Whip  ToyotaRav  NewNurse  NewCar  NoDebt!  NewBeginnings ,0
51,Car Salesman We do want your business sir. ,0
52,All deposits taken for vehicle holds andor purchases are non-refundable. ,0
53,If you live in D.C. report any bad conduct to the Office of the Attorney General for the District of Columbia and the Federal Trade Commission. The Attorney General's office can help you understand your rights. The D.C. Attorney General's office has a Consumer Hotline for you to call at (202) -9828. You can also call the FTC at (202) FTC-HELP that is (202) -4357 or go to While the D.C. Attorney General or FTC will not sue for just one person if they think a company may be repeatedly violating the law they may investigate and take legal action.,0
54,The much-awaited Hyundai Grand i10 Nios has finally launched in India. For all you need to know Visit  ,0
55,"""If you're looking to get a new car you may be eligible to receive $100's cash back through our BonusDrive! Allstat ",0
56,,0
57,seller oh no please that would be selling the cost no profit for us.,0
58,Are there any mechanical problems I need to know about?,0
59,"""Loving my new babe",0
60,Press down on the bumper and release. If the shock absorbers are working right the car should only bounce once.,0
61, Insurance  AutoInsurance  Florida  Miami  Car  DeltoroInsurance  Protection ,0
62,"""RT IDI0TSYNCRATIC Alex dies in the sun Rulex_19 accidentally wins $20 brandonkarlis ACTUALLY SHOWS UP Amanda is Forest Gump and Just""1",0
63,But if youre on a budget your goal should be to find a cost-effective car that wont drain your wallet at the gas pump. Talk to your dealer and express your needs when it comes to gas mileage.,0
64,Congrats on your new car!!! And thank you for choosing Henderson Chevrolet!!  chevy  chevrolet  newcar ,0
65,"""Alex dies in the sun Rulex_19 accidentally wins $20 brandonkarlis ACTUALLY SHOWS UP Amanda is Forest Gump and ",0
66,"""If you're looking for a small car that turns heads the Ibiza is a great choice. Stylish fun to drive and a great ",0
67,You may also ask the judge to consider the District of Columbia's Consumer Protection Procedures Act including the consumer rights provided by D.C. Code Section -3904 and the consumer remedies provided by D.C. Code Section -3905(k)(1).,0
68,,0
69,The price I saw was $27000. Why is your price higher?,0
70,Do you have a Used Vehicle Information Package? (For purchases in Ontario),0
71,This is a chance to double check that the mileage quoted matches the cars odometer. Can I see the VIN number the vehicle ownership and your identification? You want to see this information to confirm that the seller is in fact the legal owner and to double check that the registration information matches with the cars VIN number. Check your CARFAX Canada report as well to be sure the VIN and vehicle details in the report match up with the vehicle you see in front of you.,0
72,Leakage,0
73,Our fees vary but typically range from $1250 to $1500,0
74,The seller could answer this question in a few ways. They might be ready for an upgrade or perhaps the cars size doesnt suit their lifestyle anymore. Its good to know the reasons behind this change because you might run into the same issues down the line.,0
75, vauxhall  vauxhalluk  vauxhallmokka  griffin  limitededition ,0
76,This Hyundai Tucson ordered through our  sourceit service and ready to be collected by Judith Nellins from Armagh ,0
77,Car Salesman Not a problem sir. We have a nice brand new Honda Pilot SUV over here. ,0
78,"""Find out more ",0
79,"""As part of our tender with Energy Efficiency Services we have already completed the production of  cars and initiated the execution of phase II orders a Tata Motors spokesperson said in response to an emailed query.",0
80,You should report safety defects to the National Highway Traffic Safety Administration at (888) -1100 or go to ,0
81,You can also go to  for a helpful checklist of questions you may wish to ask the dealer.,0
82,How do I know whether other warranties apply to the car?,0
83,seller oke that's great,0
84, drawing ,0
