,text,label
0,Does your car take longer than usual to start? If that s the case and you hear a clicking sound before your car starts your starter may be starting to fail. It s a common problem that is pretty easy to repair. But fix it fast because if it fails your car won t start.,4
1,I have already shown the car with the help of crane at the nearest tata service center who were also shocked to see the condition of the tata tiago xm.,4
2,I have drived this car today only km but after the journey this is what i saw. The touch was'nt working and the engine of the car was still on when i lock my car. ,4
3, I m also complain to my nearest tata service center but they told that you need the change the part which creat leakage problem in break oil. ,4
4,Steering lock problem still not resolved and i had faced a horrible issue on yesterday as my steering got lock in the highway while driving. Just imagine the risk i was driving with my family. Service center people had serviced two times for the same issue not sure what they did??? But my problem still remains same,4
5,While driving car doesnt drive seamlessly and there is a huge noticeable pause while accelerating the car. ,4
6,Transmission,4
7,And i am surprised that despite of so many complaints raised by many owners on same issue tata motors doesnt' seems to be taking any action in order to bring permanent fix to this issue. ,4
8,And also facing issue while taking reverse. It a brand new car but have faced issues more than thrice.,4
9,Cold Start Do this step in the beginning have someone start the car and look at the exhaust; if you see a lot of black smoke then you have problems. ,4
10,On march   i brought new tata tiago xz diesl top model car no. Mh  as  after  months from buying the ac system has stopped working after -5 days i went to showroom they taken my car to service centre at baramati automotive and they filled the gas as there is gas problem ,4
11,In the last -9 months the vehicle has been repaired  times including engine repair turbo crank et etc.,4
12,My name is nagar babulal patel i have purchased tata car from active automobiles on -3-2018 and,4
13,While talking about the power it feels like old maruthi  is so far better!!! ,4
14,My car is in warranty period.,4
15,I want a complete diagnosis from your professional service men to resole my problem... Or otherwise take my car back and pay me...,4
16,I ve brought tiago on dec  from kvr dream vehicles. ,4
17,When i buy turck your company dealer tell me truck fuel average near about .5k. Mlitre but it not more than .5k. Mlitre.,4
18,Squeals from under the bonnet Cause - The serpentine belt (or fan belt as you may have heard) is slipping ,4
19,Which i aspect from tata motors as his name and brand value....,4
20,Steering hardness reported on jan th via customer care toll free number. Complaint number ,4
21,Recognise it You may notice steam or smoke coming from your bonnet or the needle on your engine temperature gauge may be through the roof ,4
22,I purchased the mega xl from kamal motors in january  registration no mh47 y .,4
23,But results is same ,4
24,It happens so frequently. I hv raised this issue during all my service visits and also in between. ,4
25,after servicing it twice in company service station in third service it was identified that a clamp was missing from very first day (Told by your officials)! ,4
26,Is the vehicle  Wheel Drive? if so does it work properly?,4
27,Issue  steering hardening at  kmph. ,4
28,Take it out on a drive find small and big potholes on the road insist on going bad roads check if your car does not hit with a thud while going over bumps. ( unless you are buying a sports variant which will)        ,4
29,The engine runs best when air and fuel properly mix and burn in the combustion chamber. To efficiently complete this process a series of fuel and ignition system components must work together. Though many moving parts help an engine run properly engine sputtering or misfiring is one of the leading problems. To reduce engine misfiring or sputtering issues make sure to replace fuel and ,4
30,Whether the vehicle is automatic  gear   ,4
31,Boot upper side cover is missing which result in all harness inside open. ,4
32,Accordingly the vehicle was taken in to tiruchirappalli city and the dealer is ms. Kaveri garage pvt. Ltd. located at  dindigul main road dheeran nagar piratiyur tiruchirappalli -  .,4
33,Does the car have a spare tire and jack?   ,4
34,From discoloration to chipping to scratches auto paint defects are some of the most visible car problems to have. While most are a nuisance keep in mind that rust spots can lead to major structural damage if left unchecked.,4
35,I had complained this to tafe service center at greams road but even after multiple services the problem is not solved.,4
36,From the day  i am facing lot of issues ,4
37,Engine crank problems Sometimes it is difficult to start the car as the engine is rather slow and sluggish and makes a cranking sound This is also due to a problematic battery and is one reason why the car won t start will face major battery related issues in the long run As soon as your vehicle starts making such a noise this is a sign of the car batter not working well and the experts should be called to deal with the issue ,4
38,Believe it or not your gas mileage is very dependent on the maintenance of your engine.,4
39,I buy a tata truck  bs4 in august  from daisy motor prt. Ltd hissar. After complete body making work than began on road. We faced  some problems in my tata truck ,4
40,Your car wo not start still Cause - Faulty spark plugs ,4
41,Tata sales team is Worst I was getting a lot of problems while purchasing a car.,4
42,they say they have not checked the oil pump so it is not their fault then what is the use of paying rs it is just like paying money and getting my car damaged.,4
43,Make sure you drive the vehicle above   kmhr at some point. Many front-end problems aren t detectable at lower speeds. Does the front end shake shimmy or vibrate?                 ',4
44,My request is that if allmost all the tata tiago facing that type of problem that should be covered under the manufacturing defect of the product.,4
45,Luckily not all common car problems need your immediate attention. Scratches yellowing headlights and streaky windshields can be very annoying. But they can also be fixed very easily. A bit of cleaner wax and touch-up paint will take care of minor scratches. A plastic restoration kit makes your headlights crystal clear again. And a new pair of windshield wipers will prevent streaking.,4
46,and that i have to pay because the vehicle is not covered under warranty as the vehicle already run km as against  km but time limit of four years.,4
47,2. Vibrating breaks at high speed ,4
48,So please give suggestions to me what can i do? I m very sad about your service n car manufacturer by tata motors. Only  km running car created such big problem like leakage n break fail... ,4
